classsize,enrollment,pct_disadv,readsize,mathsize,avgread,avgmath,schltype,schlcode
35,35,24,35,35,65.7699966430664,64.94000244140625,1,11005
27,54,38,25,25,59.31999969482422,56.79999923706055,2,11006
27,54,38,24,23,63.58000183105469,56.90999984741211,2,11006
38,38,6,38,37,78.37000274658203,76.69999694824219,1,11009
37,73,3,35,35,76.5999984741211,61.400001525878906,1,11010
36,73,3,35,37,72.37000274658203,66.6500015258789,1,11010
31,65,8,28,28,59.5,58.709999084472656,1,11013
34,65,8,33,33,67.81818389892578,70.33696746826172,1,11013
30,89,6,27,27,84.06999969482422,81.589996337890625,1,11015
30,89,6,30,30,82,79.56999969482422,1,11015
29,89,6,28,28,86.07535552978516,78.92749786376953,1,11015
29,85,9,27,27,74.8499984741211,72.88999938964844,1,11017
28,85,9,28,28,62.959999084472656,67.43000030517578,1,11017
28,85,9,26,27,54.22999954223633,58.630001068115234,1,11017
38,74,5,36,36,75.80999755859375,76.38999938964844,1,11020
36,74,5,33,35,73.81999969482422,75.62999725341797,1,11020
34,66,11,34,34,75.3499984741211,71.29000091552734,1,11021
31,66,11,31,31,74.61612701416016,70.68193817138672,1,11021
33,96,5,31,31,76.61000061035156,68.12999725341797,1,11027
32,96,5,30,30,75.5,71.19999694824219,1,11027
31,96,5,32,32,77.660003662109375,74,1,11027
31,87,11,30,30,66.2300033569336,61.56999969482422,1,11029
26,87,11,27,27,61.70000076293945,55.88999938964844,1,11029
30,87,11,25,25,66.279998779296875,61.560001373291016,1,11029
36,73,12,32,35,75.94000244140625,68.26000213623047,1,11031
37,73,12,36,36,77.470001220703125,75.16999816894531,1,11031
29,80,13,23,26,62.040000915527344,65.8499984741211,1,11032
29,80,13,26,27,62.349998474121094,62.66999816894531,1,11032
29,80,13,24,27,61.58250045776367,54.659629821777344,1,11032
26,79,11,22,22,71,66.5,1,11034
26,79,11,23,24,58.90999984741211,54,1,11034
27,79,11,26,27,68.12000274658203,66,1,11034
35,36,50,29,28,62.13999938964844,51.86000061035156,2,11044
38,77,9,37,37,76.08000183105469,71.23999786376953,2,11045
39,77,9,38,38,71.31999969482422,67.029998779296875,2,11045
22,87,11,18,18,81.44000244140625,82.220001220703125,2,11048
